,설치년도,시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,충전기ID,충전소ID,위도,경도
0,2018,전라남도,나주시,전라남도 나주시 반남면 자미로 6,반남면사무소,공공시설,주민센터,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,1,ME183010,34.9033498,126.6516778
1,2018,전라남도,나주시,전라남도 나주시 다시면 다시로 175-24,다시면사무소,공공시설,주민센터,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,1,ME183011,35.0191976,126.6369573
2,2018,전라남도,나주시,전라남도 나주시 다도면 다도로 759,다도면사무소,공공시설,주민센터,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,1,ME183012,34.9471335,126.8271952
3,2018,전라남도,나주시,전라남도 나주시 내동길 15,롯데마트 나주점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,1,ME184084,35.013283,126.712774     
4,2018,전라남도,나주시,"전라남도 나주시 송월동 1106-2, 1층",롯데마트 나주점,상업시설,마트(쇼핑몰),급속,급속(100kW멀티),환경부,환경부(협회),급속(100kW멀티),DC차데모+AC3상+DC콤보,이용가능,1,ME18A149,35.013326,126.712845
5,2018,전라남도,나주시,전라남도 나주시 빛가람동 346-1,빛가람전망대 전망대 바로 앞 주차장,관광시설,공원,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,11,ME18A225,35.014085,126.79105
6,2018,전라남도,나주시,전라남도 나주시 빛가람동 346-1,빛가람전망대 전망대 바로 앞 주차장,관광시설,공원,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,12,ME18A225,35.014085,126.79105
7,2018,전라남도,나주시,전라남도 나주시 빛가람로 601,한국농촌경제연구원,공공시설,공공기관,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,11,ME18A226,35.022751,126.778496
8,2018,전라남도,나주시,전라남도 나주시 빛가람로 601,한국농촌경제연구원,공공시설,공공기관,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,12,ME18A226,35.022751,126.778496
9,2019,전라남도,나주시,전라남도 나주시 예향로 4137,나주문화예술회관,교육문화시설,공연장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC콤보,이용가능,11,ME19B122,35.022262,126.71305
10,2019,전라남도,나주시,전라남도 나주시 예향로 4137,나주문화예술회관,교육문화시설,공연장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC콤보,이용가능,12,ME19B122,35.022262,126.71305
11,2019,전라남도,나주시,전라남도 나주시 송월동 1100,나주시의회,공공시설,관공서,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,1,ME19B123,35.014588,126.711112
