fid,gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,NUMPOINTS,CHARGING,공연시설_공연시설접근성,공시지가_공시지가,도서관_도서관접근성,병원_병원접근성,보건기관_보건기관접근성,생활권공원_생활권공원 접근성,소방서_소방서접근성,인구_인구,주제공원_주제공원접근성,주차장_주차장접근성,체육시설__체육시설접근성,초등학교_초등학교접근성
"1",다라29ab68bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.747,"2022","202303",0,0,1.965,38583.29,2.099,3.245,3.11,1.558,2.971,,1.917,0.706,1.482,2.139
"2",다라29bb68ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.871,"2022","202303",0,0,4.329,,2.846,6.209,3.362,3.674,3.348,,3.07,2.323,1.117,3.027
"3",다라30ab68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.148,"2022","202303",0,0,3.991,,3.798,5.023,3.439,3.583,4.3,,3.943,2.648,2.069,3.978
"4",다라30ab68bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.974,"2022","202303",0,0,3.817,,4.1,4.849,3.265,3.41,4.602,,3.769,2.474,2.372,4.281
"5",다라29bb69aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.974,"2022","202303",0,0,2.572,46399.5,1.98,3.126,2.991,2.165,3.577,0,2.523,1.533,1.434,2.346
"6",다라29bb69ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.77,"2022","202303",0,0,2.368,51117.42,1.644,2.79,2.655,1.721,3.373,,2.32,1.109,1.117,2.01
"7",다라29ba68ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.609,"2022","202303",0,0,4.067,16500,2.583,6.854,3.099,3.412,3.085,,2.808,2.06,1.392,2.764
"8",다라29ba68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.162,"2022","202303",0,0,2.38,16690.92,2.339,3.485,3.35,1.973,3.386,,2.332,1.121,1.155,2.56
"9",다라29bb68aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.04,"2022","202303",0,0,4.067,,2.584,6.059,3.1,3.001,3.086,,2.808,2.061,0.855,2.765
"10",다라29ba69ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.493,"2022","202303",0,0,2.091,86863.83,1.386,2.532,2.397,1.445,3.097,19,2.043,0.832,0.84,1.752
"11",다라29ab69ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.378,"2022","202303",0,0,1.698,89561.16,1.247,2.393,2.258,1.179,2.42,68,1.958,0.747,0.574,1.614
"12",다라30ab69ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.337,"2022","202303",0,0,2.555,16600,2.8,3.812,3.323,2.148,3.56,,2.507,1.212,1.681,3.166
"13",다라30aa68aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.249,"2022","202303",0,0,4.526,16600,3.042,5.633,3.558,3.459,3.544,,3.267,2.519,1.313,3.223
"14",다라30aa69ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.123,"2022","202303",0,0,2.721,30928.75,2.102,3.019,3.113,2.314,3.727,,2.673,1.892,1.583,2.468
"15",다라29ab69aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.626,"2022","202303",0,0,1.883,51614.43,1.822,2.968,2.833,1.476,2.888,,1.835,0.624,1.07,2.086
"16",다라30aa68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.654,"2022","202303",0,0,2.891,17300,2.85,3.996,3.861,2.484,3.897,,2.843,1.693,1.666,3.07
